Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,040913,2019,05,02,1.2,1,N
IDCJAC0009,040913,2019,05,03,0.6,1,N
IDCJAC0009,040913,2019,05,04,0.0,1,N
IDCJAC0009,040913,2019,05,05,5.2,1,N
IDCJAC0009,040913,2019,05,06,0.0,1,N
IDCJAC0009,040913,2019,05,07,0.0,1,N
IDCJAC0009,040913,2019,05,08,0.0,1,N
IDCJAC0009,040913,2019,05,09,0.0,1,N
IDCJAC0009,040913,2019,05,10,0.0,1,N
IDCJAC0009,040913,2019,05,11,1.2,1,N
IDCJAC0009,040913,2019,05,12,0.0,1,N
IDCJAC0009,040913,2019,05,13,0.0,1,N
IDCJAC0009,040913,2019,05,14,0.0,1,N
IDCJAC0009,040913,2019,05,15,3.4,1,N
IDCJAC0009,040913,2019,05,16,0.0,1,N
IDCJAC0009,040913,2019,05,17,10.0,1,N
IDCJAC0009,040913,2019,05,18,1.6,1,N
IDCJAC0009,040913,2019,05,19,0.0,1,N
IDCJAC0009,040913,2019,05,20,0.0,1,N
IDCJAC0009,040913,2019,05,21,0.0,1,N
IDCJAC0009,040913,2019,05,22,0.0,1,N
IDCJAC0009,040913,2019,05,23,0.0,1,N
IDCJAC0009,040913,2019,05,24,0.0,1,N
IDCJAC0009,040913,2019,05,25,0.0,1,N
IDCJAC0009,040913,2019,05,26,0.0,1,N
IDCJAC0009,040913,2019,05,27,0.0,1,N
IDCJAC0009,040913,2019,05,28,0.0,1,N
IDCJAC0009,040913,2019,05,29,0.0,1,N
IDCJAC0009,040913,2019,05,30,0.0,1,N
IDCJAC0009,040913,2019,05,31,0.0,1,N
IDCJAC0009,040913,2019,06,01,0.0,1,N
IDCJAC0009,040913,2019,06,02,0.0,1,N
IDCJAC0009,040913,2019,06,03,4.0,1,N
IDCJAC0009,040913,2019,06,04,0.0,1,N
IDCJAC0009,040913,2019,06,05,0.0,1,N
IDCJAC0009,040913,2019,06,06,0.0,1,N
IDCJAC0009,040913,2019,06,07,0.0,1,N
IDCJAC0009,040913,2019,06,08,2.2,1,N
IDCJAC0009,040913,2019,06,09,3.8,1,N
IDCJAC0009,040913,2019,06,10,0.2,1,N
IDCJAC0009,040913,2019,06,11,0.0,1,N
IDCJAC0009,040913,2019,06,12,0.0,1,N
IDCJAC0009,040913,2019,06,13,0.0,1,N
IDCJAC0009,040913,2019,06,14,0.0,1,N
IDCJAC0009,040913,2019,06,15,0.0,1,N
IDCJAC0009,040913,2019,06,16,0.0,1,N
IDCJAC0009,040913,2019,06,17,20.6,1,N
IDCJAC0009,040913,2019,06,18,0.0,1,N
IDCJAC0009,040913,2019,06,19,0.0,1,N
IDCJAC0009,040913,2019,06,20,0.0,1,N
IDCJAC0009,040913,2019,06,21,0.0,1,N
IDCJAC0009,040913,2019,06,22,0.0,1,N
IDCJAC0009,040913,2019,06,23,0.0,1,N
IDCJAC0009,040913,2019,06,24,0.0,1,N
IDCJAC0009,040913,2019,06,25,0.0,1,N
IDCJAC0009,040913,2019,06,26,0.0,1,N
IDCJAC0009,040913,2019,06,27,4.8,1,N
IDCJAC0009,040913,2019,06,28,3.8,1,N
IDCJAC0009,040913,2019,06,29,1.2,1,N
IDCJAC0009,040913,2019,06,30,0.6,1,N
IDCJAC0009,040913,2019,07,01,0.0,1,N
IDCJAC0009,040913,2019,07,02,0.2,1,N
IDCJAC0009,040913,2019,07,03,0.0,1,N
IDCJAC0009,040913,2019,07,04,0.0,1,N
IDCJAC0009,040913,2019,07,05,4.2,1,N
IDCJAC0009,040913,2019,07,06,4.4,1,N
IDCJAC0009,040913,2019,07,07,4.6,1,N
IDCJAC0009,040913,2019,07,08,0.2,1,N
IDCJAC0009,040913,2019,07,09,0.8,1,N
IDCJAC0009,040913,2019,07,10,0.0,1,N
IDCJAC0009,040913,2019,07,11,0.0,1,N
IDCJAC0009,040913,2019,07,12,0.0,1,N
IDCJAC0009,040913,2019,07,13,0.0,1,N
IDCJAC0009,040913,2019,07,14,0.0,1,N
IDCJAC0009,040913,2019,07,15,0.0,1,N
IDCJAC0009,040913,2019,07,16,0.0,1,N
IDCJAC0009,040913,2019,07,17,0.0,1,N
IDCJAC0009,040913,2019,07,18,0.0,1,N
IDCJAC0009,040913,2019,07,19,0.0,1,N
IDCJAC0009,040913,2019,07,20,0.0,1,N
IDCJAC0009,040913,2019,07,21,0.0,1,N
IDCJAC0009,040913,2019,07,22,0.0,1,N
IDCJAC0009,040913,2019,07,23,0.0,1,N
IDCJAC0009,040913,2019,07,24,0.0,1,N
IDCJAC0009,040913,2019,07,25,0.0,1,N
IDCJAC0009,040913,2019,07,26,0.0,1,N
IDCJAC0009,040913,2019,07,27,0.0,1,N
IDCJAC0009,040913,2019,07,28,0.0,1,N
IDCJAC0009,040913,2019,07,29,0.0,1,N
IDCJAC0009,040913,2019,07,30,0.0,1,N
IDCJAC0009,040913,2019,07,31,0.0,1,N
IDCJAC0009,040913,2019,08,01,0.0,1,N
IDCJAC0009,040913,2019,08,02,0.0,1,N
IDCJAC0009,040913,2019,08,03,0.0,1,N
IDCJAC0009,040913,2019,08,04,0.0,1,N
IDCJAC0009,040913,2019,08,05,0.0,1,N
IDCJAC0009,040913,2019,08,06,0.0,1,N
IDCJAC0009,040913,2019,08,07,0.0,1,N
IDCJAC0009,040913,2019,08,08,2.8,1,N
IDCJAC0009,040913,2019,08,09,0.2,1,N
IDCJAC0009,040913,2019,08,10,0.0,1,N
IDCJAC0009,040913,2019,08,11,0.0,1,N
IDCJAC0009,040913,2019,08,12,0.0,1,N
IDCJAC0009,040913,2019,08,13,0.0,1,N
IDCJAC0009,040913,2019,08,14,0.0,1,N
IDCJAC0009,040913,2019,08,15,0.0,1,N
IDCJAC0009,040913,2019,08,16,0.0,1,N
IDCJAC0009,040913,2019,08,17,0.0,1,N
IDCJAC0009,040913,2019,08,18,0.0,1,N
IDCJAC0009,040913,2019,08,19,0.0,1,N
IDCJAC0009,040913,2019,08,20,0.0,1,N
IDCJAC0009,040913,2019,08,21,0.0,1,N
IDCJAC0009,040913,2019,08,22,0.0,1,N
IDCJAC0009,040913,2019,08,23,0.0,1,N
IDCJAC0009,040913,2019,08,24,0.0,1,N
IDCJAC0009,040913,2019,08,25,0.0,1,N
IDCJAC0009,040913,2019,08,26,0.0,1,N
IDCJAC0009,040913,2019,08,27,0.0,1,N
IDCJAC0009,040913,2019,08,28,0.2,1,N
IDCJAC0009,040913,2019,08,29,0.0,1,N
IDCJAC0009,040913,2019,08,30,0.0,1,N
IDCJAC0009,040913,2019,08,31,0.0,1,N
IDCJAC0009,040913,2019,09,01,0.0,1,N
IDCJAC0009,040913,2019,09,02,0.0,1,N
IDCJAC0009,040913,2019,09,03,0.0,1,N
IDCJAC0009,040913,2019,09,04,0.0,1,N
IDCJAC0009,040913,2019,09,05,0.0,1,N
IDCJAC0009,040913,2019,09,06,0.0,1,N
IDCJAC0009,040913,2019,09,07,0.0,1,N
